	selection	cdr_title_num	cdr_track_num	composer_name	artist_name	track_name	track_id	popularity	year_rec	danceability	energy	valence	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	tempo	norm_energy	norm_valence	quadrant
1041	mid_east	KDX2443	KDX2443-0015	Waed Bouhassoun	Moslem Rahal	Houzan Lala	343VL26dWHReb6wJMIVF5B	1	                         2016-09-09	0.324	0.0615	0.607	5	-22.468	1	0.0474	0.989	0.932	0.161	90.925	-1.26244759384349	0.590708638877236	4
1042	mid_east	KDX1899	KDX1899-0002	Damil Ahmed	Annigma Ensemble	Raksa Arabia	764CO3gK9qMvO8C2T16K3F	0	                         1994-01-02	0.503	0.538	0.71	0	-10.492	1	0.0813	0.698	0.368	0.111	161.393	0.186342392593413	0.916134692010998	1
1043	mid_east	JE44361	JE44361-0008	Out Of Nations	Islam Chipsy	Feluka	52AKa3XAWYKfKUBrjAs5Mk	0	                         2018-08-31	0.51	0.784	0.658	5	-8.066	0	0.0412	0.000105	0.0631	0.106	105.462	1.16550830866733	0.715596043718325	1
1044	mid_east	KDX1411	KDX1411-0006	Ahmed Mukhtar	not found	IRAQ Raqsat albedoi: Raqsat albedoi (Iraq)	4Y4GBq0srsSKYB0Nuy4pr8	2	                         2005-01-01	0.807	0.559	0.961	1	-14.997	0	0.0401	0.531	0.831	0.0918	95.254	0.269929726892406	1.88411932126986	1
1045	mid_east	JK109150	JK109150-0008	Khaled	not found	Raba-Raba	57TzZS6gK1vwIPHU3i9Eow	34	                         1999-01-01	0.547	0.686	0.876	10	-5.07	1	0.0465	0.413	0.000216	0.0544	96.098	0.775434081938695	1.55631576156068	1
1046	mid_east	KDX1380	KDX1380-0002	Dr Samy Farag	not found	Set El Hosen	7vfSeqFPxkwojkVczpFvjN	6	                         2003-10-28	0.528	0.611	0.512	6	-10.769	1	0.119	0.00606	0.147	0.134	102.425	0.476907888013721	0.152545223511974	1
1047	mid_east	JE45063	JE45063-0002	Kheireiddine Mkachiche	Manuel Hermia	Bahdja	7wuMwC1tbCfskyqiMt5yTd	1	                         2019-02-08	0.6	0.556	0.429	2	-9.348	1	0.0386	0.695	0.0604	0.0563	129.814	0.257988679135407	-0.167545311262869	2
1048	mid_east	JE46032	JE46032-0004	Hussam Aliwat	not found	Out of the Blue	2dZh0iGwmzUTY8aKWJKMpT	3	                         2019-10-18	0.678	0.543	0.245	1	-7.866	1	0.0321	0.238	0.576	0.0997	129.978	0.206244138855078	-0.877143605221558	2
1049	mid_east	JK215431	JK215431-0023	Harem	not found	Sultana - Violin Solo	1Mypvyz3bHexsa6umtZw2p	2	2008	0.58	0.683	0.41	5	-6.979	1	0.0579	0.154	0.865	0.0456	139.878	0.763493034181696	-0.240819048139038	2
1050	mid_east	KDX1383	KDX1383-0006	Setrak Sarkissian	not found	Boos Shoof	3qLwNuii6I5P4NPlrTSKPm	3	                         2005-07-02	0.512	0.68	0.32	7	-9.398	1	0.186	0.228	0.723	0.0859	96.517	0.751551986424697	-0.587905170184049	2
1051	mid_east	KDX1471	KDX1471-0013	Mosavo	not found	Spiritual Blessing (Sufi Dance)	11RsKllPTLwovoRz64xOy6	1	                         2008-01-23	0.549	0.643	0.326	1	-9.567	0	0.046	0.934	0.854	0.122	99.881	0.604279064088377	-0.564766095381048	2
1052	mid_east	HEX13651	HEX13651-0008	Ramin Farhangniya	not found	Sallana Sallana	0a73lKAkwlvSczOXQhaxS5	0	                         2014-05-23	0.718	0.297	0.303	10	-10.719	1	0.0316	0.865	2.01E-06	0.215	96.011	-0.772921777218836	-0.653465882125884	3
1053	mid_east	HEX14958	HEX14958-0005	The Epichorus	not found	Mala Kassat (Who Fills the Cups)	2SiM8CwzHme4yhco0N1qso	1	                         2018-02-02	0.589	0.336	0.402	0	-11.79	1	0.0278	0.342	0.896	0.113	102.015	-0.61768815637785	-0.271671147876372	3
1054	mid_east	HFX8310	HFX8310-0004	Khaled Mouzanar	not found	Machkal	3318LgCsysdr3JbzEUUzNu	13	                         2011-09-12	0.764	0.212	0.17	0	-13.17	0	0.0476	0.681	0.658	0.0887	120.009	-1.11125146366714	-1.16638204025907	3
1055	mid_east	JE45315	JE45315-0009	Madar Ensemble	not found	Doulab	0zVL22cx1JWs1n7AgapfaZ	1	                         2019-05-10	0.505	0.136	0.196	7	-15.766	1	0.0377	0.807	0.0494	0.19	93.49	-1.41375800684445	-1.06611271611273	3
1056	mid_east	KDX1505	KDX1505-0005	Jan Garbarek	Anouar Brahem	Sebika	1aSwrwHI2WuBrIWWc2SNSS	22	1992	0.568	0.0924	0.332	8	-17.439	1	0.039	0.941	0.89	0.0871	87.844	-1.58730123424616	-0.541627020578047	3
1057	mid_east	HFX8310	HFX8310-0002	Khaled Mouzanar	not found	La grande marche	3tHOrVk0XFDvaBw7LTTKJe	17	                         2011-09-12	0.595	0.287	0.674	0	-11.974	0	0.0287	0.899	0.473	0.123	94.051	-0.812725269742166	0.777300243192994	4
1058	mid_east	JE44666	JE44666-0001	Joce Mienniel	not found	Hymne des 4 vents	0l24w3XimJSvBZxpQXKflr	1	                         2018-11-09	0.529	0.324	0.65	10	-11.313	1	0.0611	0.666	0.0694	0.23	131.15	-0.665452347405845	0.684743943980991	4
1059	mid_east	KDX0944	KDX0944-0005	Anouar Brahem Trio	not found	Nihawend lunga	1WpyEBeN9XzW1HqUUIRYPX	22	                         2000-09-18	0.52	0.106	0.666	7	-27.4	1	0.039	0.951	0.884	0.104	106.883	-1.53316848441444	0.746448143455659	4
1060	mid_east	KDX1357	KDX1357-0002	Anonymous	not found	Bedouin Melody	4KB9mXJAfyo6mrLdoBkyKu	0	                         2004-01-01	0.885	0.228	0.781	7	-15.408	1	0.396	0.84	0.917	0.108	100.763	-1.04756587562981	1.18994707717984	4
1061	mid_east	KDX1589	KDX1589-0005	Mosavo	not found	Sapurey's Mantra	0skkPAL5GCC8lTnopb6Hbb	5	                         2006-08-02	0.67	0.39	0.677	0	-15.067	1	0.0566	0.64	0.679	0.0455	88.182	-0.402749296751868	0.788869780594495	4
